Jugador,¿Europa?,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Duelos_aereos_ganados,market_value
Aaron Ciammaglichella,1,Mediocampista,19.58082191780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Aaron Martin,1,Defensa,28.087671232876712,0.0,0.4444444444444444,0.01666666666666667,0.01666666666666667,0.12058823529411763,2.4571428571428573,46.80555555555556,2.5,0.3333333333333333,15.472222222222221,4.228571428571429,0.11818181818181818,2.138888888888889,34.05555555555556,9.19047619047619,0.0,4.476190476190476,33.916666666666664,0.08571428571428572,2.0277777777777777,0.0,16.88888888888889,0.5555555555555556,0.3333333333333333,0.8611111111111112,0.6111111111111112,0.37142857142857144,28.86111111111111,2.7142857142857144,1.0555555555555556,0.5555555555555556,6500000.0
Aaron Ramsdale,1,Portero,27.03013698630137,0.0,0.0,0.0,0.0,0.0,0.1,40.766666666666666,0.0,0.0,10.066666666666666,6.545454545454546,0.0,1.2,30.6,8.964285714285714,0.0,0.0,25.8,0.1724137931034483,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,23.4,0.0,0.03333333333333333,0.2,16000000.0
Aaron WanBissaka,1,Defensa,27.493150684931507,0.05555555555555555,0.4444444444444444,0.025,0.025,0.07142857142857142,2.4285714285714284,50.416666666666664,3.7058823529411766,1.6470588235294117,12.472222222222221,1.3333333333333333,0.0638888888888889,2.611111111111111,43.55555555555556,6.428571428571429,0.08571428571428572,2.111111111111111,40.888888888888886,0.1111111111111111,3.342857142857143,0.0,17.057142857142857,1.3333333333333333,0.9393939393939394,1.7142857142857142,0.9722222222222222,0.6111111111111112,36.72222222222222,4.638888888888889,0.6,0.6111111111111112,24000000.0
Abakar Sylla,0,Defensa,22.372602739726027,0.047619047619047616,0.23809523809523808,0.023809523809523808,0.023809523809523808,0.004761904761904762,0.19047619047619047,27.65,1.0,0.14285714285714285,13.9,1.0476190476190477,0.0,1.0,24.85,3.2857142857142856,0.0,0.047619047619047616,24.65,0.0,2.263157894736842,0.0,1.2380952380952381,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.19047619047619047,23.666666666666668,0.14285714285714285,0.8095238095238095,0.75,10000000.0
Abdallah Sima,0,Delantero,23.915068493150685,0.25925925925925924,1.3703703703703705,0.128,0.128,0.03333333333333333,1.037037037037037,12.296296296296296,0.8888888888888888,0.2222222222222222,2.6666666666666665,0.2962962962962963,0.02962962962962963,0.48148148148148145,12.11111111111111,0.18518518518518517,0.0,0.5925925925925926,8.555555555555555,0.0,0.3333333333333333,0.0,9.481481481481481,2.1153846153846154,0.48148148148148145,0.5925925925925926,1.72,0.8148148148148148,14.0,3.4074074074074074,0.5925925925925926,1.5185185185185186,9000000.0
Abde Ezzalzouli,0,Delantero,23.43013698630137,0.0625,1.6333333333333333,0.13571428571428573,0.14482758620689656,0.05625,1.8387096774193548,23.65625,2.125,1.2333333333333334,4.09375,0.34375,0.05625,1.3125,22.875,0.71875,0.0625,1.53125,16.9375,0.0625,0.59375,0.0,16.0,3.6785714285714284,0.9333333333333333,1.8214285714285714,1.7666666666666666,1.3666666666666667,24.90625,5.793103448275862,0.71875,0.8125,12000000.0
Abdel Abqar,0,Defensa,26.09315068493151,0.0,0.41379310344827586,0.034482758620689655,0.034482758620689655,0.010344827586206898,0.8620689655172413,32.37931034482759,2.392857142857143,0.10344827586206896,14.517241379310345,3.6785714285714284,0.006896551724137932,2.310344827586207,30.620689655172413,1.6551724137931034,0.034482758620689655,0.1724137931034483,24.79310344827586,0.03571428571428571,4.36,0.0,2.0,0.8620689655172413,0.034482758620689655,0.2413793103448276,0.6206896551724138,0.10344827586206896,22.413793103448278,0.13793103448275862,1.1923076923076923,1.25,7500000.0
Abderrahman Rebbach,0,Delantero,26.326027397260273,0.0,0.75,0.0125,0.0125,0.037500000000000006,1.25,14.75,0.625,0.375,3.0,1.0,0.05,0.25,13.5,1.25,0.0,2.125,9.25,0.0,0.75,0.0,10.625,2.25,1.125,0.75,1.125,0.625,13.375,3.142857142857143,0.625,0.125,700000.0
Abdon Prats,1,Delantero,32.37260273972603,0.08333333333333333,0.5416666666666666,0.0608695652173913,0.0625,0.004166666666666667,0.2916666666666667,3.625,0.2916666666666667,0.041666666666666664,0.6666666666666666,0.16666666666666666,0.0,0.20833333333333334,3.4166666666666665,0.20833333333333334,0.0,0.0,2.4166666666666665,0.0,0.20833333333333334,0.0,2.2916666666666665,1.0416666666666667,0.08333333333333333,0.0,0.7083333333333334,0.5,4.333333333333333,0.5833333333333334,0.25,0.7916666666666666,1200000.0
Abdou Harroui,1,Mediocampista,26.923287671232877,0.1,1.0,0.07777777777777778,0.07777777777777778,0.05,1.5,20.2,2.1,0.6,5.4,0.6,0.06,1.6,19.7,0.4,0.1,0.9,16.0,0.1,0.5,0.0,10.5,1.7,1.3,1.125,1.2,1.0,20.3,3.4,1.0,0.8,1800000.0
Abdoulaye Bamba,0,Defensa,35.00547945205479,0.0,0.05263157894736842,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.5263157894736842,30.789473684210527,0.8421052631578947,0.10526315789473684,17.94736842105263,2.3157894736842106,0.010526315789473684,1.0,29.0,1.7894736842105263,0.05263157894736842,0.2631578947368421,27.263157894736842,0.0,3.7058823529411766,0.0,1.368421052631579,0.15789473684210525,0.0,0.10526315789473684,0.15789473684210525,0.21052631578947367,24.63157894736842,0.15789473684210525,0.5263157894736842,0.5789473684210527,300000.0
Abdoulaye Keita,1,Mediocampista,22.44109589041096,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,9.0,0.6666666666666666,0.3333333333333333,2.0,0.3333333333333333,0.03333333333333333,1.0,8.666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,0.0,1.0,0.0,4.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,8.333333333333334,1.3333333333333333,2.0,1.0,2000000.0
Abdoulaye Niakhate Ndiaye,0,Defensa,23.101369863013698,0.045454545454545456,0.5,0.045454545454545456,0.045454545454545456,0.0,0.5,42.31818181818182,1.7727272727272727,0.09090909090909091,16.75,4.238095238095238,0.004545454545454546,1.6363636363636365,40.36363636363637,1.8636363636363635,0.0,0.09090909090909091,36.54545454545455,0.09090909090909091,4.785714285714286,0.0,1.5,0.9545454545454546,0.2727272727272727,0.09090909090909091,0.6818181818181818,0.22727272727272727,33.63636363636363,0.18181818181818182,0.9090909090909091,1.9047619047619047,4000000.0
